"time" "cases1" "cases2" "cases3"
"224" 224 12087 2266 3092
"225" 225 36532 9420 4871
"226" 226 53270 4994 1407
"227" 227 36105 3914 4594
"228" 228 11188 5348 1638
"229" 229 7262 3753 2777
"230" 230 14580 4567 1571
"231" 231 15785 1174 1229
"232" 232 3250 1273 634
"233" 233 2367 1623 1035
"234" 234 3715 616 1370
"235" 235 9203 1722 1208
"236" 236 2999 1151 768
"237" 237 1708 2032 890
"238" 238 5689 588 695
"239" 239 1210 1873 580
"240" 240 1599 1742 790
"241" 241 4060 361 224
"242" 242 7930 941 309
"243" 243 895 240 1121
"244" 244 2629 324 684
"245" 245 3047 951 118
"246" 246 2165 829 1382
"247" 247 2988 750 460
"248" 248 8675 1399 379
"249" 249 2122 254 1245
"250" 250 2503 609 943
"251" 251 4493 404 673
"252" 252 2584 105 1047
"253" 253 5262 981 406
"254" 254 3773 457 377
"255" 255 640 1523 1389
"256" 256 2777 712 201
"257" 257 13701 1607 4043
"258" 258 11423 4783 1389
"259" 259 6187 6641 864
"260" 260 9023 2353 3789
"261" 261 18804 2785 3321
"262" 262 26622 2381 3289
"263" 263 16223 11419 714
"264" 264 46108 11814 1331
"265" 265 70475 13063 2254
"266" 266 60614 7974 3083
"267" 267 25736 10538 1618
"268" 268 22999 29800 6822
"269" 269 65052 9567 5948
"270" 270 138851 16190 2451
"271" 271 10382 14726 3776
"272" 272 105576 17642 11910
"273" 273 38260 21112 5877
"274" 274 43355 23475 10677
"275" 275 63470 15102 3826
"276" 276 4859 17455 2323
"277" 277 55926 6787 2234
"278" 278 19936 8469 6728
"279" 279 40140 2918 5119
"280" 280 29772 10998 3582
"281" 281 47367 8927 8953
"282" 282 14022 7517 2236
"283" 283 9311 1047 759
"284" 284 8455 3027 383
"285" 285 7885 1685 1072
"286" 286 5159 2062 1795
"287" 287 15062 3375 2659
"288" 288 5136 3554 970
"289" 289 1222 870 1712
"290" 290 6540 1177 104
"291" 291 1397 1658 744
"292" 292 6457 412 472
"293" 293 1713 218 616
"294" 294 3240 742 244
"295" 295 3638 335 339
"296" 296 3743 436 241
"297" 297 2483 729 579
"298" 298 3432 401 827
"299" 299 4324 1516 210
"300" 300 2842 703 482
"301" 301 2207 225 607
"302" 302 2264 2025 700
"303" 303 9317 183 169
"304" 304 1295 905 643
"305" 305 3966 299 487
"306" 306 3362 896 2076
"307" 307 4781 1677 786
"308" 308 9618 507 90
"309" 309 16737 9789 2565
"310" 310 10133 1439 1786
"311" 311 19492 1976 3290
"312" 312 19121 3956 326
"313" 313 6874 4620 1629
"314" 314 12381 2869 3410
"315" 315 10757 5405 3315
"316" 316 5564 1320 4260
"317" 317 9218 9909 1126
"318" 318 28505 6371 1476
"319" 319 62469 7708 6250
"320" 320 13991 3780 5554
"321" 321 83250 11387 5871
"322" 322 89412 16018 3743
"323" 323 52926 18173 1834
"324" 324 21199 1356 3016
"325" 325 39571 11824 13364
"326" 326 54012 5444 5649
"327" 327 16516 14475 4114
"328" 328 24915 5622 1765
"329" 329 103511 5668 8474
"330" 330 25633 1756 8882
"331" 331 19750 3938 2160
"332" 332 13192 285 1642
"333" 333 10132 8933 6942
"334" 334 4896 7281 932
"335" 335 11810 5037 3685
"336" 336 4676 3807 2132
"337" 337 12940 1242 1278
"338" 338 6240 1600 1058
"339" 339 10970 102 942
"340" 340 12272 1003 2983
"341" 341 15742 819 1442
"342" 342 2865 1295 154
"343" 343 10351 695 182
"344" 344 5046 1583 473
"345" 345 231 846 607
"346" 346 3872 489 777
"347" 347 3011 841 103
"348" 348 4816 478 139
"349" 349 4843 283 103
"350" 350 1626 441 487
"351" 351 1958 563 195
"352" 352 7007 397 199
"353" 353 2976 1305 488
"354" 354 4303 524 280
"355" 355 3421 175 714
"356" 356 2722 697 575
"357" 357 13428 2292 714
"358" 358 5368 775 680
"359" 359 6840 619 347
"360" 360 3217 916 1873
"361" 361 9835 2123 2149
"362" 362 7665 3206 1174
"363" 363 8286 830 1695
"364" 364 25219 1013 822
"365" 365 3618 5878 4450
"366" 366 9986 5848 612
"367" 367 40602 1451 1873
"368" 368 45159 2691 1893
"369" 369 76287 3063 1371
"370" 370 21870 13377 14082
"371" 371 19079 5231 642
"372" 372 12858 1815 2498
"373" 373 100443 17019 9046
"374" 374 36045 9744 2374
"375" 375 9314 16916 4296
"376" 376 27302 4221 7356
